sender,receiver,date,location,identifier
Samuel L. Clemens,Mary Mason Fairbanks,2–14 April 1868,San Francisco Calif,UCCL02737 CSmH
Samuel L. Clemens,Samuel Williams,14 April 1868,San Francisco Calif,UCCL02781 CtHMTH
OLC,Alice H. Day,22 April 1868,Elmira N.Y,UCCL10538 CtHSD
Samuel L. Clemens,Joseph T. Goodman,23 April 1868,Coburn Station Calif,UCCL00203
OLC,Mary M. Fairbanks,30 April 1868,Elmira N.Y,UCCL11488 CtHMTH
Samuel L. Clemens,Mary Mason Fairbanks,1 and 5 May 1868,Virginia City Nev and San Francisco Calif,UCCL00204 CSmH
Samuel L. Clemens,Elisha Bliss Jr.,5 May 1868,San Francisco Calif,UCCL02731 CU-MARK WU-MU 2015
Samuel L. Clemens,Mary Mason Fairbanks,12 May 1868,San Francisco Calif,UCCL02732
Samuel L. Clemens,Frank Fuller,12 May 1868,San Francisco Calif,UCCL02782
Samuel L. Clemens,Elisha Bliss Jr.,28 May 1868,San Francisco Calif,UCCL02733 ViU
Samuel L. Clemens,Jane Lampton Clemens and Family,7 June 1868,San Francisco Calif,UCCL02734 CU-MARK
Samuel L. Clemens,Mary Mason Fairbanks,17 June 1868,San Francisco Calif,UCCL02735 CSmH
Samuel L. Clemens,Elisha Bliss Jr.,23 June 1868,San Francisco Calif,UCCL02736 PPiU
Samuel L. Clemens,Mary Mason Fairbanks,5 July 1868,San Francisco Calif,UCCL02738 CSmH
Samuel L. Clemens,Elisha Bliss Jr.,5 July 1868,San Francisco Calif,UCCL02739 CtWep1
Samuel L. Clemens,Mathew B. Cox,11 July 1868,SS Montana en route San Francisco Calif to Panama City Panama,UCCL02741 CaNBFUA
Samuel L. Clemens,Elijah Bliss Jr.,29 July 1868,New York N.Y,UCCL12726 CU-MARK
Samuel L. Clemens,Mary Mason Fairbanks,3 August 1868,New York N.Y,UCCL02743 CSmH
OLC,Alice H. Day,8 August 1868,Elmira N.Y,UCCL10537 CtHSD
Samuel L. Clemens,Frank Fuller,15 August 1868,Hartford Conn,UCCL02744 CLjC
Samuel L. Clemens,Mary Mason Fairbanks,17 August 1868,Hartford Conn,UCCL02745 CSmH
Samuel L. Clemens,Charles J. Langdon,21 August 1868,En route New York to Elmira N.Y,UCCL02746
